61595
2484	32	2195
1474	129	12530
8255	13	9358
2731	18	10936
8800	52	1095
1620	3	12449
6807	48	58
12526	22	9796
101	91	7914
1127	9	1472
3422	80	9189
131	3	9117
12648	55	138
667	32	4599
4494	184	13271
6200	119	11731
681	32	5953
4706	89	251
9213	4	10
6264	20	761
5216	9	4726
8664	258	138
5540	165	4259
5709	48	58
9858	13	1536
9734	10	5171
4224	202	6082
86	94	439
6142	121	240
8657	53	2088
123	71	8830
8218	389	9280
1784	20	2778
7653	410	7652
7653	38	11415
5720	30	99
8555	23	11731
1508	285	1466
3844	142	1244
834	20	3477
1506	46	1181
5746	384	11404
3952	212	6789
5724	17	35
10977	302	1417
4937	136	10243
6714	52	1094
11287	79	3416
11367	84	58
1189	26	1188
4534	50	161
1073	31	3599
1244	128	6379
11948	155	4494
11857	119	2688
4981	10	1547
10939	8	10
5508	128	359
3533	4	10
5028	20	2328
3701	340	5574
479	48	58
10013	30	230
1469	227	4078
58	28	710
7569	557	958
6543	260	1906
12828	99	9446
2022	54	1645
1415	243	2674
8244	27	2491
2702	10	1554
3262	23	58
7901	43	101
7959	48	58
975	27	2004
11461	30	99
61	182	35
4077	69	963
7894	13	3978
4154	114	11703
7071	499	138
8366	8	10
101	91	243
2034	291	2238
1879	172	1880
4836	48	58
665	9	1439
1618	31	2528
9192	168	2731
2740	3	2369
8468	43	101
2770	74	11471
7111	20	58
6872	17	35
3937	197	10718
6162	227	4419
4559	3	122
12863	7	501
6279	137	4094
1073	31	3757
2918	337	5490
789	335	41
7603	9	2500
134	11	2528
8488	23	58
2057	26	10371
5064	505	9856
9699	389	2196
6003	10	3443
9226	157	5373
12391	119	75
375	113	2674
211	86	5540
738	22	897
3814	261	8855
3434	13	2793
10664	26	12472
11759	24	2076
4564	323	443
4982	20	41
1541	43	101
1975	37	1985
2200	20	3381
5924	155	8493
10713	73	214
4718	20	58
612	11	3583
2044	23	58
1309	26	3919
3370	84	58
101	91	12563
1879	50	612
869	363	7033
7449	92	9796
7034	53	5924
5915	53	1165
5715	9	2487
5760	21	251
8576	37	3393
8364	25	1466
6065	61	1501
12695	43	101
4409	10	818
234	26	3467
2728	13	675
6348	79	1630
2287	422	58
1840	11	9636
6065	3	459
8543	138	17
10988	278	3116
6258	313	14286
6642	10	2057
2731	18	1285
650	43	101
4772	9	9691
231	84	58
3444	19	1005
183	99	5746
4621	13	9117
10207	119	3894
4765	50	120
8777	267	58
13021	258	138
561	202	5135
1635	49	3647
101	91	4285
99	32	46
1385	43	101
6647	73	214
112	72	5383
10850	60	5516
3502	26	5906
58	28	8777
101	91	237
3034	31	5760
612	16	6181
9850	9	3124
12321	84	58
5768	37	1941
874	23	58
7075	37	755
6471	43	101
1348	237	8930
1955	203	3347
5715	128	8231
7175	49	465
4942	22	644
5902	67	1166
5216	98	4282
10553	17	35
581	49	6014
11408	84	3116
2241	199	9501
6016	30	1283
6166	84	58
497	229	3116
651	32	7267
4207	29	58
4409	382	8962
681	32	11455
2263	13	7722
6065	9	8017
2855	75	7663
5036	17	35
9218	314	11567
4621	588	7227
13258	36	2919
8695	530	8875
5596	98	8290
2923	389	3191
651	32	8819
101	91	6115
8737	134	10013
1466	181	12082
101	91	3656
6160	375	7088
313	20	58
2742	482	10
738	165	4259
99	32	11223
6797	10	65
3627	17	35
5214	30	962
6180	22	5179
10580	32	13483
10456	30	1302
829	3	488
12367	43	101
1181	31	11058
8488	43	101
4939	43	101
4154	114	417
1742	121	240
2275	156	2646
3335	15	815
101	91	4510
2678	44	1094
4068	138	10
1068	23	58
4519	422	58
8289	37	6752
6835	169	4994
2071	11	4046
5361	43	101
5313	7	4818
5924	164	3443
791	16	9815
10683	20	58
5071	661	2095
591	356	10548
101	91	6398
7124	43	101
7141	161	9649
1271	2	4283
101	91	4136
2868	13	4064
2235	20	58
7618	43	101
5090	61	526
36	18	9836
3457	26	123
12324	38	4064
4453	7	10098
2484	32	2868
58	144	262
1233	13	11277
4494	184	269
10327	182	2918
6415	80	975
101	91	9498
10	5	1527
8282	37	2004
562	31	649
6832	136	508
7708	20	58
391	32	3836
775	79	123
17	5	893
805	46	107
8553	224	1230
8929	61	485
9366	20	278
1233	3	11277
12541	202	5135
8644	227	6892
7244	17	35
3335	136	185
101	91	6506
2711	62	583
4613	9	136
644	92	6682
3116	521	329
7333	20	41
13518	326	2379
2538	48	58
2057	11	6144
2892	168	2731
7987	13	8929
4253	151	2482
9	261	3222
13225	138	10
570	205	1329
9537	4	10
1637	188	12507
2774	392	58
827	48	58
101	91	13299
959	45	1546
3467	9	11085
644	38	9861
5111	63	185
6543	261	2278
504	124	444
101	1013	12872
635	2	3347
